<검색방법>
 종목코드 | A | B | C | D | E | F | G | H | I | 결과1 | 결과2 |
Search kospi: 
 code:900050 | X | X | X | X | X | X | X | X | 5 | ........ | ........ |
 code:000020 | X | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:000030 | X | X | O | O | O | O | X | X | 5 | ........ | ........ |
 code:000040 | X | X | X | X | X | X | X | X | 5 | ........ | ........ |
 code:000050 | X | X | O | X | X | O | X | X | 5 | ........ | ........ |
 code:000060 | X | X | O | O | O | X | X | X | 5 | ........ | ........ |
 code:000070 | X | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:000075 | X | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:000080 | X | X | O | X | X | O | X | X | 5 | ........ | ........ |
 code:000087 | O | X | O | O | O | X | X | X | 5 | ........ | ........ |
 code:000100 | X | X | O | X | X | O | X | X | 5 | ........ | ........ |
 code:000105 | X | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:000120 | X | X | O | X | X | O | X | X | 5 | ........ | ........ |
 code:000140 | X | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:000145 | O | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:000150 | X | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:000155 | O | X | O | O | O | X | X | X | 5 | ........ | ........ |
 code:000157 | X | X | O | O | O | X | X | X | 5 | ........ | ........ |
 code:000180 | X | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:000210 | X | X | O | X | X | O | X | X | 5 | ........ | ........ |
 code:000215 | X | X | O | O | O | X | X | X | 5 | ........ | ........ |
 code:000220 | O | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:000225 | X | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:000227 | X | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:000230 | X | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:000240 | X | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:000270 | X | O | O | X | X | O | X | X | 5 | ........ | ........ |
 code:000300 | X | X | X | X | X | X | X | X | 5 | ........ | ........ |
 code:000320 | X | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:000325 | X | O | O | X | X | X | X | X | 5 | ........ | ........ |
 code:000327 | X | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:000370 | X | X | O | O | O | X | X | X | 5 | ........ | ........ |
 code:000390 | X | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:000400 | X | X | O | O | O | X | X | X | 5 | ........ | ........ |
 code:000430 | X | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:000480 | X | X | O | O | O | X | X | X | 5 | ........ | ........ |
 code:000490 | X | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:000500 | O | X | O | X | X | X | X | X | 5 | ........ | ........ |
 code:000520 | X | X | O | X | X | X | X | X | 5 | ........ | ........ |
