Search kospi: 
 code:900050 | X | X | X | O | O | O | O | O || ........ |
 code:000020 | X | X | X | O | O | O | O | O || ........ |
 code:000030 | O | O | X | X | O | O | O | O || ........ |
 code:000040 | X | X | X | O | O | O | O | O || ........ |
 code:000050 | O | X | X | O | O | O | O | O || ........ |
 code:000060 | X | O | X | O | O | O | O | X || ........ |
 code:000070 | X | X | X | O | O | O | O | O || ........ |
 code:000075 | X | X | X | O | X | O | O | O || ........ |
 code:000080 | O | X | X | X | O | O | X | X || ........ |
 code:000087 | X | X | X | O | O | O | X | O || ........ |
 code:000100 | O | X | X | O | O | O | O | O || ........ |
 code:000105 | X | X | X | O | O | O | O | O || ........ |
 code:000120 | O | X | X | X | O | O | O | O || ........ |
 code:000140 | X | X | X | O | O | O | X | O || ........ |
 code:000145 | X | X | X | X | O | O | X | X || ........ |
 code:000150 | X | O | O | O | O | O | O | X || ........ |
 code:000155 | X | X | X | X | O | O | O | O || ........ |
 code:000157 | X | X | X | O | O | O | X | X || ........ |
 code:000180 | X | X | O | O | O | O | X | X || ........ |
 code:000210 | O | O | O | O | O | O | O | O || ok_rslt0 |
 code:000215 | X | O | O | X | O | O | O | O || ........ |
 code:000220 | X | X | X | O | O | O | O | O || ........ |
 code:000225 | X | X | X | X | O | O | X | X || ........ |
 code:000227 | X | X | X | X | O | O | X | O || ........ |
 code:000230 | X | X | X | X | O | O | O | O || ........ |
 code:000240 | X | X | X | O | O | O | X | X || ........ |
 code:000270 | O | X | X | O | O | O | O | O || ........ |
 code:000300 | X | X | X | O | O | O | O | O || ........ |
 code:000320 | X | X | X | X | O | O | X | O || ........ |
 code:000325 | X | X | X | O | X | X | X | O || ........ |
 code:000327 | X | X | X | O | O | O | O | O || ........ |
 code:000370 | X | O | X | O | O | O | X | X || ........ |
 code:000390 | X | X | X | O | O | O | O | O || ........ |
 code:000400 | X | O | X | O | O | O | O | X || ........ |
 code:000430 | X | X | O | X | O | O | O | O || ........ |
 code:000480 | X | O | X | X | O | O | X | O || ........ |
 code:000490 | X | X | X | O | O | O | O | O || ........ |
 code:000500 | X | X | X | O | O | O | O | O || ........ |
 code:000520 | X | X | X | X | O | O | O | O || ........ |
 code:000540 | X | O | O | X | X | X | X | X || ........ |
 code:000545 | X | X | O | X | O | O | O | O || ........ |
 code:000547 | X | O | X | O | O | O | O | O || ........ |
 code:000590 | X | O | X | X | X | X | X | O || ........ |
 code:000640 | X | X | X | O | O | O | O | O || ........ |
 code:000650 | X | X | X | X | O | O | X | O || ........ |
 code:000660 | O | O | X | X | O | O | O | X || ........ |
 code:000670 | X | X | X | O | X | X | O | O || ........ |
 code:000680 | X | X | X | O | O | O | O | O || ........ |
 code:000700 | X | X | X | O | O | O | O | O || ........ |
 code:000720 | O | O | O | X | O | O | O | O || ok_rslt0 |
 code:000725 | X | O | O | O | X | X | X | O || ........ |
 code:000760 | X | X | X | O | O | O | O | O || ........ |
 code:000810 | O | O | O | X | O | O | O | O || ok_rslt0 |
 code:000815 | X | O | O | O | O | O | O | O || ........ |
 code:000850 | X | X | O | X | O | O | O | X || ........ |
 code:000860 | X | X | X | O | O | O | X | X || ........ |
 code:000880 | O | O | X | O | O | O | O | O || ........ |
 code:000885 | X | X | X | X | O | O | O | O || ........ |
 code:000890 | X | X | X | O | O | O | O | O || ........ |
 code:000910 | X | X | X | X | O | O | O | O || ........ |
 code:000950 | X | X | X | O | O | O | X | X || ........ |
 code:000970 | X | X | X | X | O | O | O | O || ........ |
 code:000990 | O | X | X | O | O | O | O | O || ........ |
 code:000995 | X | O | O | X | X | X | X | O || ........ |
 code:001020 | X | X | O | X | O | O | O | O || ........ |
 code:001040 | O | X | X | X | O | O | O | O || ........ |
 code:001045 | X | X | X | X | O | O | O | O || ........ |
 code:001060 | O | X | X | X | O | O | O | O || ........ |
 code:001065 | X | X | O | X | X | O | O | O || ........ |
 code:001067 | X | X | O | O | X | X | O | O || ........ |
 code:001070 | X | X | X | X | O | O | O | X || ........ |
 code:001080 | X | X | X | X | O | O | O | O || ........ |
 code:001120 | O | X | X | X | O | O | O | O || ........ |
 code:001130 | X | X | X | X | X | X | X | O || ........ |
 code:001140 | O | X | X | O | O | O | X | X || ........ |
 code:001200 | X | X | X | O | O | O | O | O || ........ |
 code:001210 | X | X | X | O | O | O | O | O || ........ |
 code:001230 | X | O | X | O | O | O | O | O || ........ |
